Transaction_ID,Customer_ID,Card_ID,Transaction_Date,Merchant_Category,Transaction_Amount,Transaction_Type,Transaction_Status,Payment_Method,Location
TXN300040,C105698,CARD202296,2025-05-30,Fuel,776.32,Purchase,Approved,Online,Domestic
TXN300041,C103723,CARD201701,2026-07-07,Entertainment,960.08,Purchase,Approved,POS,Domestic
TXN300042,C107120,CARD207833,2025-01-20,Entertainment,772.99,Purchase,Approved,POS,Domestic
TXN300043,C104187,CARD204116,2026-05-18,Entertainment,1798.69,Purchase,Approved,ATM,Domestic
TXN300044,C107413,CARD203049,2026-04-28,Education,737.04,Purchase,Approved,Online,Domestic
TXN300045,C105837,CARD208090,2026-07-02,Education,574.56,Purchase,Approved,POS,Domestic
TXN300046,C103136,CARD202112,2026-07-10,Online Shopping,3661.94,Purchase,Approved,POS,Domestic
TXN300047,C109339,CARD210859,2025-05-31,Fuel,1703.43,Purchase,Approved,ATM,Domestic
TXN300048,C106503,CARD208664,2025-09-29,Utilities,712.44,Purchase,Approved,Online,Domestic
TXN300049,C100120,CARD208373,2025-11-25,Online Shopping,1769.86,Purchase,Approved,ATM,Domestic
TXN300050,C105500,CARD207762,2025-09-04,Electronics,6314.58,Purchase,Approved,POS,Domestic
TXN300051,C107418,CARD210782,2025-02-03,Healthcare,8514.13,Purchase,Declined,Contactless,Domestic
TXN300052,C103483,CARD200670,2026-02-03,Healthcare,4655.56,Purchase,Approved,Contactless,Domestic
TXN300053,C107734,CARD208414,2025-01-30,Dining,5005.86,Recurring Payment,Approved,POS,Domestic
TXN300054,C103647,CARD201603,2026-04-04,Travel,4548.38,Recurring Payment,Approved,Contactless,Domestic
TXN300055,C105654,CARD207923,2026-02-19,Travel,1092.03,Purchase,Approved,Contactless,Domestic
TXN300056,C109774,CARD209588,2025-04-30,Education,7389.11,Purchase,Approved,Online,Domestic
TXN300057,C100079,CARD211113,2025-01-26,Fuel,1901.07,Purchase,Approved,ATM,Domestic
TXN300058,C108231,CARD203798,2026-03-02,Dining,747.83,Purchase,Approved,POS,Domestic
TXN300059,C102205,CARD201661,2025-11-27,Grocery,767.98,Recurring Payment,Approved,POS,Domestic
TXN300060,C106754,CARD211948,2026-07-26,Online Shopping,1193.41,Purchase,Declined,Contactless,Domestic
TXN300061,C100086,CARD204789,2025-12-26,Fuel,2490.33,Recurring Payment,Approved,Contactless,Domestic
TXN300062,C106749,CARD205582,2025-11-20,Fuel,1912.22,Purchase,Approved,Online,Domestic
TXN300063,C105749,CARD209784,2026-05-02,Electronics,721.4,Purchase,Approved,Online,International
TXN300064,C109511,CARD208619,2026-08-15,Healthcare,254.64,Purchase,Approved,Online,Domestic
TXN300065,C102503,CARD200278,2025-01-06,Entertainment,9141.02,Purchase,Approved,POS,Domestic
TXN300066,C101278,CARD205987,2026-02-16,Online Shopping,2453.39,Purchase,Approved,POS,Domestic
TXN300067,C103054,CARD211289,2025-02-20,Entertainment,5116.82,Purchase,Approved,Contactless,Domestic
TXN300068,C102094,CARD203255,2026-03-08,Education,1252.46,Purchase,Approved,Online,Domestic
TXN300069,C108585,CARD206964,2025-04-01,Grocery,1123.71,Purchase,Approved,POS,Domestic
TXN300070,C108252,CARD211793,2026-07-24,Fuel,2837.71,Recurring Payment,Approved,ATM,Domestic
TXN300071,C100189,CARD208182,2026-07-03,Education,1310.53,Purchase,Approved,POS,Domestic
TXN300072,C107983,CARD204159,2025-07-06,Entertainment,1252.64,Purchase,Approved,POS,Domestic
TXN300073,C108795,CARD204422,2025-04-24,Electronics,2334.8,Purchase,Approved,Contactless,Domestic
TXN300074,C108864,CARD203083,2026-07-03,Entertainment,260.45,Purchase,Approved,Contactless,Domestic
TXN300075,C108398,CARD201621,2026-06-29,Grocery,3988.63,Purchase,Approved,Online,Domestic
TXN300076,C108600,CARD204462,2025-02-06,Utilities,635.98,Purchase,Approved,Contactless,Domestic
TXN300077,C105862,CARD200647,2026-05-11,Grocery,888.39,Purchase,Approved,POS,Domestic
TXN300078,C101482,CARD207815,2026-02-11,Fuel,703.7,Purchase,Approved,Contactless,Domestic
TXN300079,C100393,CARD203430,2025-09-11,Grocery,736.61,Cash Withdrawal,Approved,Contactless,Domestic
TXN300080,C101629,CARD203774,2025-03-09,Healthcare,1129.53,Purchase,Approved,Contactless,Domestic
TXN300081,C106564,CARD204356,2026-03-02,Dining,2737.23,Purchase,Declined,Online,Domestic
TXN300082,C102636,CARD203928,2025-12-22,Education,3165.03,Purchase,Approved,POS,Domestic
TXN300083,C107745,CARD210455,2026-03-07,Grocery,1886.59,Purchase,Approved,Contactless,Domestic
TXN300084,C103213,CARD211617,2026-07-21,Online Shopping,1900.99,Purchase,Approved,POS,Domestic
TXN300085,C101503,CARD203113,2026-05-10,Travel,733.46,Purchase,Approved,POS,Domestic
TXN300086,C101547,CARD206895,2025-09-13,Dining,1161.51,Purchase,Approved,POS,Domestic
TXN300087,C109458,CARD203922,2025-04-18,Entertainment,3286.14,Purchase,Approved,POS,Domestic
TXN300088,C103908,CARD211274,2026-03-01,Entertainment,1355.25,Purchase,Approved,Online,Domestic
TXN300089,C103211,CARD207383,2025-05-11,Grocery,5931.1,Purchase,Declined,POS,Domestic
TXN300090,C107290,CARD200271,2026-07-29,Utilities,426.09,Purchase,Approved,Online,Domestic
TXN300091,C100733,CARD202050,2025-08-13,Healthcare,11335.13,Purchase,Approved,Contactless,Domestic
TXN300092,C106360,CARD206185,2025-06-18,Electronics,1879.89,Purchase,Approved,Online,Domestic
TXN300093,C107474,CARD200013,2026-01-11,Electronics,868.37,Recurring Payment,Approved,POS,Domestic
TXN300094,C108016,CARD203071,2026-02-06,Education,1002.39,Purchase,Declined,Contactless,Domestic
TXN300095,C109526,CARD204806,2026-02-06,Utilities,615.41,Purchase,Approved,Online,Domestic
TXN300096,C100595,CARD202217,2026-05-05,Fuel,814.19,Purchase,Approved,Online,Domestic
TXN300097,C102451,CARD201352,2025-05-29,Fuel,1874.54,Purchase,Approved,Contactless,Domestic
TXN300098,C100085,CARD203043,2025-07-08,Grocery,2909.96,Purchase,Approved,Contactless,Domestic
TXN300099,C101125,CARD209831,2025-08-16,Entertainment,1835.33,Purchase,Approved,POS,Domestic
TXN300100,C109165,CARD208452,2026-08-05,Dining,4468.21,Purchase,Approved,Online,Domestic
TXN300101,C104995,CARD207242,2026-04-26,Dining,438.87,Purchase,Approved,POS,Domestic
TXN300102,C103439,CARD205874,2026-04-02,Grocery,2308.4,Purchase,Approved,Contactless,Domestic
TXN300103,C103431,CARD210472,2026-03-09,Education,2547.74,Purchase,Approved,Contactless,Domestic
TXN300104,C101848,CARD202818,2026-02-04,Electronics,3591.92,Purchase,Approved,POS,Domestic
TXN300105,C101151,CARD205362,2026-01-02,Entertainment,349.43,Purchase,Approved,POS,Domestic
TXN300106,C102090,CARD205243,2026-08-26,Travel,1160.27,Purchase,Approved,POS,Domestic
TXN300107,C100523,CARD210197,2026-05-09,Fuel,943.35,Purchase,Approved,POS,Domestic
TXN300108,C104167,CARD209070,2025-08-28,Education,1640.8,Cash Withdrawal,Approved,POS,Domestic
TXN300109,C100155,CARD206292,2025-05-05,Grocery,928.04,Purchase,Approved,POS,Domestic
TXN300110,C106888,CARD203377,2026-02-21,Healthcare,1180.76,Purchase,Approved,POS,Domestic
TXN300111,C106959,CARD211760,2025-04-25,Travel,1117.03,Purchase,Approved,POS,Domestic
TXN300112,C104050,CARD208093,2025-11-01,Fuel,579.03,Recurring Payment,Approved,Contactless,Domestic
TXN300113,C105009,CARD207743,2025-09-30,Education,1239.04,Recurring Payment,Approved,Contactless,Domestic
TXN300114,C106453,CARD205699,2026-02-08,Fuel,1171.63,Purchase,Approved,POS,Domestic
TXN300115,C104563,CARD202493,2025-02-15,Healthcare,1418.49,Purchase,Approved,ATM,Domestic
TXN300116,C100520,CARD206486,2026-08-26,Healthcare,573.34,Cash Withdrawal,Approved,Contactless,Domestic
TXN300117,C106526,CARD210199,2026-02-16,Online Shopping,3329.42,Purchase,Approved,POS,Domestic
TXN300118,C106659,CARD208080,2026-04-17,Entertainment,2370.9,Purchase,Approved,Contactless,Domestic
TXN300119,C103079,CARD211749,2026-02-03,Entertainment,5731.72,Purchase,Approved,Online,Domestic
TXN300120,C103388,CARD200598,2026-01-01,Education,407.8,Purchase,Approved,Online,Domestic
TXN300121,C105641,CARD200579,2025-12-02,Online Shopping,1784.57,Purchase,Approved,Online,Domestic
TXN300122,C103751,CARD202163,2025-09-12,Entertainment,14723.04,Purchase,Approved,POS,International
TXN300123,C107803,CARD206367,2026-06-01,Travel,2722.04,Purchase,Approved,POS,Domestic
TXN300124,C106303,CARD210941,2026-02-03,Entertainment,1547.75,Purchase,Approved,Online,Domestic
TXN300125,C104300,CARD200322,2025-06-10,Utilities,659.24,Purchase,Approved,Online,Domestic
TXN300126,C104859,CARD207564,2026-07-01,Entertainment,543.35,Purchase,Approved,ATM,Domestic
TXN300127,C108792,CARD211463,2025-07-01,Entertainment,432.39,Purchase,Approved,Online,International
TXN300128,C107693,CARD206475,2026-04-21,Utilities,1936.35,Recurring Payment,Approved,Contactless,Domestic
TXN300129,C108494,CARD210314,2025-09-07,Travel,904.06,Recurring Payment,Approved,POS,Domestic
TXN300130,C104669,CARD200936,2025-07-26,Electronics,569.4,Purchase,Approved,ATM,Domestic
TXN300131,C108041,CARD211102,2025-02-13,Dining,1112.8,Recurring Payment,Approved,Contactless,Domestic
TXN300132,C107923,CARD201941,2026-01-05,Fuel,2114.44,Purchase,Approved,Online,Domestic
TXN300133,C106703,CARD203315,2025-11-21,Fuel,846.2,Purchase,Approved,POS,Domestic
TXN300134,C103734,CARD202269,2025-08-10,Education,263.44,Purchase,Approved,Contactless,Domestic
TXN300135,C107324,CARD205638,2025-02-24,Fuel,723.38,Purchase,Approved,Contactless,Domestic
TXN300136,C109445,CARD204206,2025-11-22,Dining,5479.54,Purchase,Approved,POS,Domestic
TXN300137,C106349,CARD203253,2025-09-29,Education,2413.05,Purchase,Approved,ATM,Domestic
TXN300138,C101064,CARD207283,2025-10-28,Utilities,1078.66,Recurring Payment,Approved,Online,Domestic
TXN300139,C103143,CARD206515,2025-05-14,Travel,1486.26,Purchase,Approved,Online,Domestic
TXN300140,C100824,CARD209704,2026-01-14,Travel,1926.08,Purchase,Approved,POS,Domestic
TXN300141,C103502,CARD203452,2026-02-18,Travel,1679.19,Purchase,Approved,ATM,Domestic
TXN300142,C109453,CARD207841,2025-12-05,Dining,3051.13,Recurring Payment,Approved,POS,Domestic
TXN300143,C102707,CARD205458,2025-10-12,Utilities,5457.43,Purchase,Approved,POS,Domestic
TXN300144,C108352,CARD208419,2026-03-27,Utilities,1813.67,Purchase,Approved,Online,Domestic
TXN300145,C108464,CARD207005,2025-10-16,Grocery,2198.31,Purchase,Approved,Online,Domestic
TXN300146,C107666,CARD207583,2025-11-22,Grocery,1035.91,Purchase,Declined,POS,Domestic
TXN300147,C106315,CARD206073,2026-07-10,Electronics,4179.02,Cash Withdrawal,Approved,POS,Domestic
TXN300148,C106292,CARD200843,2025-07-26,Education,4563.89,Purchase,Approved,POS,Domestic
TXN300149,C104860,CARD208691,2026-01-19,Dining,993.51,Purchase,Approved,Online,Domestic
TXN300150,C103583,CARD205446,2026-08-26,Electronics,3495.41,Purchase,Approved,Online,Domestic
TXN300151,C103899,CARD202372,2025-08-08,Electronics,6590.88,Cash Withdrawal,Approved,Online,Domestic
TXN300152,C101747,CARD206168,2025-02-12,Online Shopping,2931.69,Purchase,Approved,Online,Domestic
TXN300153,C107770,CARD210850,2026-04-03,Healthcare,3580.47,Purchase,Approved,POS,Domestic
TXN300154,C106881,CARD201405,2026-01-25,Education,393.09,Purchase,Approved,POS,Domestic
TXN300155,C101651,CARD205562,2026-02-18,Dining,2458.92,Purchase,Declined,Online,Domestic
TXN300156,C109892,CARD211312,2025-08-25,Travel,1514.45,Purchase,Approved,POS,International
TXN300157,C105151,CARD209231,2026-05-12,Healthcare,2330.67,Purchase,Approved,ATM,Domestic
TXN300158,C104077,CARD201960,2026-07-15,Grocery,284.89,Cash Withdrawal,Approved,POS,International
TXN300159,C109021,CARD210547,2026-03-18,Utilities,357.0,Purchase,Approved,POS,Domestic
TXN300160,C108479,CARD207505,2025-09-28,Travel,142.59,Purchase,Approved,Contactless,Domestic
TXN300161,C107288,CARD209153,2025-05-28,Fuel,1755.23,Purchase,Approved,POS,Domestic
TXN300162,C108802,CARD207013,2025-10-04,Entertainment,819.15,Cash Withdrawal,Approved,Online,Domestic
TXN300163,C108134,CARD203041,2026-07-20,Electronics,674.95,Purchase,Approved,Contactless,Domestic
TXN300164,C104223,CARD204004,2026-07-29,Electronics,1437.47,Purchase,Approved,POS,Domestic
TXN300165,C105287,CARD210057,2025-06-29,Electronics,1056.77,Purchase,Approved,Online,Domestic
TXN300166,C104392,CARD208363,2025-08-30,Healthcare,1878.38,Cash Withdrawal,Approved,POS,Domestic
TXN300167,C105749,CARD209784,2026-05-17,Utilities,1356.38,Purchase,Approved,Contactless,Domestic
TXN300168,C102565,CARD208915,2026-07-09,Education,917.12,Purchase,Approved,Contactless,International
TXN300169,C105181,CARD211605,2026-08-26,Electronics,1035.9,Purchase,Approved,Online,Domestic
TXN300170,C100390,CARD205077,2026-05-17,Education,9343.93,Purchase,Approved,Online,Domestic
TXN300171,C102436,CARD207367,2025-11-09,Electronics,12426.05,Recurring Payment,Approved,Contactless,Domestic
TXN300172,C107008,CARD201314,2026-03-16,Healthcare,2040.24,Purchase,Approved,POS,Domestic
TXN300173,C107865,CARD207916,2026-03-05,Electronics,1612.63,Purchase,Approved,POS,Domestic
TXN300174,C108903,CARD211734,2026-06-23,Dining,1103.2,Cash Withdrawal,Approved,Contactless,Domestic
TXN300175,C107866,CARD203495,2026-07-30,Utilities,1511.97,Purchase,Approved,ATM,Domestic
TXN300176,C100864,CARD206950,2025-08-27,Fuel,3376.49,Purchase,Approved,Online,International
TXN300177,C104571,CARD200759,2026-02-02,Utilities,3425.06,Purchase,Approved,Online,Domestic
TXN300178,C102354,CARD204696,2025-05-27,Fuel,4827.57,Recurring Payment,Approved,ATM,Domestic
TXN300179,C109899,CARD200687,2025-08-25,Dining,739.36,Purchase,Approved,POS,Domestic
TXN300180,C109113,CARD205040,2025-08-31,Dining,1371.32,Purchase,Approved,Contactless,Domestic
TXN300181,C103906,CARD209201,2025-04-29,Travel,1266.16,Recurring Payment,Approved,Online,Domestic
TXN300182,C105082,CARD207947,2026-08-16,Utilities,4370.02,Purchase,Declined,Contactless,Domestic
TXN300183,C105103,CARD209719,2025-07-29,Utilities,732.83,Recurring Payment,Approved,ATM,Domestic
TXN300184,C100399,CARD211248,2026-03-15,Online Shopping,3433.67,Purchase,Approved,Online,Domestic
TXN300185,C109055,CARD206796,2025-09-16,Dining,618.07,Purchase,Approved,ATM,Domestic
TXN300186,C104251,CARD203095,2025-01-13,Entertainment,423.48,Purchase,Approved,POS,Domestic
TXN300187,C101859,CARD206054,2025-05-14,Grocery,695.84,Purchase,Declined,Contactless,Domestic
TXN300188,C107554,CARD211095,2026-08-02,Education,964.33,Purchase,Approved,Contactless,Domestic
TXN300189,C108849,CARD204190,2026-01-24,Healthcare,1948.71,Purchase,Approved,POS,Domestic
TXN300190,C103433,CARD204692,2025-06-18,Travel,634.05,Purchase,Approved,Contactless,International
TXN300191,C102215,CARD208210,2026-03-23,Electronics,1123.87,Purchase,Declined,Contactless,Domestic
TXN300192,C106497,CARD211544,2025-04-29,Fuel,1961.43,Purchase,Approved,POS,Domestic
TXN300193,C104510,CARD202829,2025-08-22,Online Shopping,6635.18,Purchase,Approved,Online,Domestic
TXN300194,C104262,CARD201616,2025-05-23,Travel,7102.25,Purchase,Approved,Online,Domestic
TXN300195,C106740,CARD206834,2026-03-09,Entertainment,317.86,Purchase,Approved,POS,International
TXN300196,C101392,CARD205943,2026-04-02,Travel,1661.17,Purchase,Approved,Online,Domestic
TXN300197,C109805,CARD204022,2025-12-18,Electronics,714.08,Purchase,Approved,POS,Domestic
TXN300198,C104228,CARD211456,2026-05-31,Dining,394.67,Purchase,Approved,POS,Domestic
TXN300199,C106331,CARD207374,2025-09-27,Travel,2487.7,Recurring Payment,Approved,POS,Domestic
TXN300200,C100561,CARD208912,2025-06-12,Education,442.13,Purchase,Approved,Contactless,Domestic
TXN300201,C106059,CARD204247,2025-12-10,Travel,5372.78,Purchase,Approved,POS,Domestic
TXN300202,C100883,CARD207639,2026-04-14,Entertainment,2032.1,Purchase,Approved,POS,Domestic
TXN300203,C107069,CARD206177,2026-02-21,Healthcare,4149.8,Purchase,Approved,POS,Domestic
TXN300204,C106311,CARD206175,2025-10-29,Dining,1281.73,Purchase,Approved,Online,Domestic
TXN300205,C102933,CARD208439,2026-01-01,Grocery,7250.62,Purchase,Approved,Online,Domestic
TXN300206,C108242,CARD205304,2025-08-12,Utilities,7553.76,Purchase,Approved,ATM,Domestic
TXN300207,C109929,CARD205147,2026-07-18,Dining,1370.08,Recurring Payment,Approved,Online,Domestic
TXN300208,C100271,CARD207156,2025-08-20,Entertainment,1227.9,Purchase,Approved,POS,Domestic
TXN300209,C100623,CARD206021,2025-10-04,Healthcare,3165.32,Purchase,Approved,Online,Domestic
TXN300210,C104095,CARD210236,2025-08-12,Healthcare,705.19,Purchase,Approved,Online,Domestic
TXN300211,C103855,CARD210203,2025-05-14,Fuel,4030.38,Purchase,Approved,Online,Domestic
TXN300212,C103630,CARD208488,2025-02-19,Healthcare,1874.21,Purchase,Approved,ATM,Domestic
TXN300213,C109750,CARD210091,2025-01-22,Healthcare,1292.3,Purchase,Approved,Contactless,Domestic
TXN300214,C103166,CARD208556,2025-02-11,Travel,460.89,Purchase,Approved,POS,Domestic
TXN300215,C102469,CARD200126,2026-03-17,Grocery,1809.24,Purchase,Approved,Contactless,Domestic
TXN300216,C101807,CARD206397,2025-07-16,Travel,415.23,Purchase,Approved,Contactless,Domestic
TXN300217,C105684,CARD201587,2025-03-27,Dining,5503.15,Purchase,Approved,Online,Domestic
TXN300218,C108942,CARD209263,2026-03-28,Healthcare,751.43,Purchase,Approved,POS,Domestic
TXN300219,C105482,CARD206482,2026-02-20,Grocery,1593.21,Purchase,Approved,POS,Domestic
TXN300220,C105171,CARD210741,2026-06-25,Entertainment,1796.65,Purchase,Approved,Online,Domestic
TXN300221,C108524,CARD202479,2026-06-29,Fuel,884.06,Purchase,Approved,ATM,Domestic
TXN300222,C106487,CARD208762,2026-08-26,Grocery,6617.99,Purchase,Declined,POS,Domestic
TXN300223,C100943,CARD200289,2026-01-14,Utilities,2903.77,Recurring Payment,Approved,POS,Domestic
TXN300224,C100415,CARD205989,2025-12-19,Education,1180.92,Purchase,Approved,Online,Domestic
TXN300225,C100750,CARD211457,2026-04-16,Travel,871.64,Purchase,Approved,Online,Domestic
TXN300226,C107027,CARD204069,2026-03-18,Electronics,860.93,Purchase,Declined,ATM,Domestic
TXN300227,C101308,CARD207084,2026-03-06,Entertainment,4569.17,Purchase,Approved,POS,Domestic
TXN300228,C100784,CARD203939,2026-08-14,Grocery,5180.04,Purchase,Approved,POS,Domestic
TXN300229,C103328,CARD205660,2025-12-03,Healthcare,1039.28,Purchase,Approved,Online,Domestic
TXN300230,C107368,CARD203674,2025-03-23,Dining,2320.22,Purchase,Approved,Online,Domestic
TXN300231,C108603,CARD207365,2025-02-26,Fuel,2409.28,Purchase,Approved,POS,Domestic
TXN300232,C106504,CARD211143,2025-11-14,Healthcare,5409.29,Purchase,Approved,POS,Domestic
TXN300233,C103463,CARD200939,2025-10-28,Online Shopping,5025.32,Purchase,Approved,Contactless,Domestic
TXN300234,C101009,CARD206776,2025-04-06,Healthcare,1244.22,Purchase,Approved,POS,Domestic
TXN300235,C100028,CARD206627,2025-12-30,Entertainment,4025.75,Cash Withdrawal,Approved,ATM,International
TXN300236,C101482,CARD207815,2026-02-11,Grocery,3708.55,Purchase,Approved,POS,Domestic
TXN300237,C106260,CARD205768,2025-08-21,Utilities,1547.81,Purchase,Declined,POS,Domestic
TXN300238,C105488,CARD211148,2026-05-14,Healthcare,880.75,Purchase,Approved,POS,Domestic
TXN300239,C104853,CARD209622,2025-05-07,Utilities,472.59,Purchase,Approved,POS,Domestic
TXN300240,C106041,CARD204302,2025-07-04,Grocery,8833.28,Purchase,Approved,ATM,Domestic
TXN300241,C109075,CARD205593,2026-01-14,Fuel,2715.2,Purchase,Approved,POS,Domestic
TXN300242,C102423,CARD211907,2025-11-07,Online Shopping,4530.8,Recurring Payment,Approved,ATM,Domestic
TXN300243,C105635,CARD204942,2025-04-12,Fuel,394.43,Purchase,Approved,Online,Domestic
TXN300244,C102518,CARD211727,2025-02-01,Fuel,1433.27,Cash Withdrawal,Approved,POS,Domestic
TXN300245,C102460,CARD209254,2026-06-03,Electronics,2283.97,Purchase,Declined,Contactless,Domestic
TXN300246,C109885,CARD210056,2026-06-05,Dining,1579.72,Purchase,Approved,POS,Domestic
TXN300247,C107676,CARD208337,2025-05-17,Healthcare,1110.91,Purchase,Approved,Online,Domestic
TXN300248,C106317,CARD205206,2025-02-27,Entertainment,2162.91,Purchase,Approved,POS,Domestic
TXN300249,C108565,CARD206764,2026-03-07,Education,656.58,Recurring Payment,Approved,POS,Domestic
TXN300250,C103718,CARD207574,2025-03-28,Electronics,1674.66,Recurring Payment,Approved,Online,Domestic
TXN300251,C102640,CARD206779,2026-06-03,Travel,1141.8,Purchase,Declined,Online,Domestic
TXN300252,C100763,CARD203308,2026-01-08,Fuel,10951.71,Purchase,Approved,Contactless,Domestic
TXN300253,C105849,CARD209813,2026-05-23,Utilities,924.21,Purchase,Approved,POS,Domestic
TXN300254,C105890,CARD205860,2026-06-06,Electronics,3335.33,Purchase,Approved,Online,Domestic
TXN300255,C104102,CARD200061,2026-01-22,Travel,1103.18,Purchase,Approved,POS,Domestic
TXN300256,C106518,CARD207171,2025-02-14,Utilities,1479.55,Purchase,Declined,Contactless,Domestic
TXN300257,C101112,CARD200362,2025-03-05,Healthcare,663.3,Purchase,Approved,POS,Domestic
TXN300258,C106833,CARD209834,2026-05-28,Entertainment,2671.02,Purchase,Approved,Online,Domestic
TXN300259,C105687,CARD211659,2025-02-06,Fuel,713.59,Purchase,Approved,POS,Domestic
TXN300260,C102098,CARD210061,2026-05-17,Entertainment,260.41,Purchase,Approved,POS,Domestic
TXN300261,C106165,CARD204198,2026-05-02,Online Shopping,3740.85,Purchase,Approved,ATM,Domestic
TXN300262,C103659,CARD208663,2025-09-18,Travel,866.72,Purchase,Approved,POS,Domestic
TXN300263,C102995,CARD202903,2025-09-01,Travel,5590.9,Purchase,Approved,Contactless,Domestic
TXN300264,C104583,CARD204630,2026-04-16,Dining,1035.56,Purchase,Approved,POS,Domestic
TXN300265,C105864,CARD200997,2025-04-18,Dining,996.6,Purchase,Approved,POS,Domestic
TXN300266,C102146,CARD201866,2026-07-06,Electronics,684.33,Purchase,Approved,Contactless,Domestic
TXN300267,C104577,CARD204951,2025-01-12,Electronics,2179.4,Purchase,Approved,Online,Domestic
TXN300268,C106789,CARD203563,2025-06-08,Dining,696.61,Purchase,Approved,Online,Domestic
TXN300269,C104979,CARD200351,2026-02-15,Grocery,2372.79,Purchase,Approved,Contactless,Domestic
TXN300270,C103502,CARD201538,2026-02-03,Online Shopping,2192.87,Purchase,Approved,POS,Domestic
TXN300271,C109370,CARD209180,2026-07-11,Online Shopping,875.75,Purchase,Approved,POS,Domestic
TXN300272,C103021,CARD207553,2026-04-09,Online Shopping,1578.14,Purchase,Approved,POS,Domestic
TXN300273,C109134,CARD206641,2026-04-19,Healthcare,896.65,Purchase,Approved,Online,Domestic
TXN300274,C105760,CARD209456,2026-04-21,Entertainment,1779.58,Purchase,Approved,Online,Domestic
