Payment_ID,Customer_ID,Card_ID,Payment_Date,Due_Amount,Payment_Amount,Payment_Status,Days_Past_Due
PAY400026,C102818,CARD202665,2025-11-27,1558.85,1558.85,On Time,0
PAY400027,C104323,CARD208051,2025-01-25,7089.1,7089.1,On Time,0
PAY400028,C108612,CARD202615,2026-07-26,10238.19,10238.19,On Time,0
PAY400029,C100449,CARD206707,2025-04-17,10043.68,10043.68,On Time,0
PAY400030,C100271,CARD207156,2025-08-19,7538.87,7538.87,Late,6
PAY400031,C109131,CARD200503,2026-04-25,8643.39,1192.87,Missed,59
PAY400032,C102672,CARD207024,2026-07-25,2557.3,2557.3,On Time,0
PAY400033,C103158,CARD210950,2026-02-14,7081.44,686.28,Missed,112
PAY400034,C104363,CARD209828,2025-08-04,2636.29,2636.29,Late,12
PAY400035,C104878,CARD201315,2026-07-18,6913.25,6913.25,On Time,0
PAY400036,C109693,CARD209903,2025-04-08,8102.28,4658.1,Partial,39
PAY400037,C102588,CARD209080,2026-07-30,3228.35,171.82,Missed,110
PAY400038,C109127,CARD204037,2025-07-26,2282.69,2282.69,On Time,0
PAY400039,C103751,CARD202163,2025-01-04,4070.54,4070.54,On Time,0
PAY400040,C100026,CARD200620,2025-06-01,2961.69,2961.69,On Time,0
PAY400041,C109399,CARD203584,2025-09-24,3654.9,3654.9,On Time,0
PAY400042,C100310,CARD204939,2025-11-03,4499.48,4499.48,On Time,0
PAY400043,C103078,CARD208425,2026-05-13,9542.49,9542.49,On Time,0
PAY400044,C106517,CARD201856,2026-07-26,5577.89,5577.89,On Time,0
PAY400045,C100393,CARD203430,2026-07-20,4543.6,4543.6,On Time,0
PAY400046,C109100,CARD211958,2026-03-15,11128.67,11128.67,Late,17
PAY400047,C107842,CARD201166,2025-09-08,3221.89,3221.89,On Time,0
PAY400048,C108736,CARD209464,2025-12-09,15001.81,6710.11,Partial,25
PAY400049,C100115,CARD203476,2026-06-05,3574.45,1597.18,Partial,59
PAY400050,C108837,CARD205560,2026-01-30,25986.85,25986.85,On Time,0
PAY400051,C109648,CARD207919,2026-04-18,21905.38,21905.38,On Time,0
PAY400052,C101107,CARD205611,2026-03-31,3669.87,3669.87,On Time,0
PAY400053,C105500,CARD207762,2026-03-22,13360.1,13360.1,On Time,0
PAY400054,C108979,CARD205049,2026-01-21,4838.71,4838.71,On Time,0
PAY400055,C106517,CARD201856,2025-04-17,2348.13,2348.13,On Time,0
PAY400056,C105198,CARD201505,2025-07-06,7560.45,7560.45,On Time,0
PAY400057,C106251,CARD202441,2026-02-15,7938.36,7938.36,On Time,0
PAY400058,C105409,CARD205902,2026-07-09,3546.18,3546.18,Late,27
PAY400059,C105676,CARD208279,2025-07-15,13168.32,13168.32,On Time,0
PAY400060,C109750,CARD210091,2026-04-13,3676.48,3676.48,On Time,0
PAY400061,C108137,CARD210668,2025-10-27,21528.78,21528.78,Late,2
PAY400062,C104189,CARD201736,2026-04-16,17895.06,17895.06,On Time,0
PAY400063,C102722,CARD211132,2026-06-17,3068.74,3068.74,On Time,0
PAY400064,C104263,CARD209212,2025-06-24,21653.48,21653.48,On Time,0
PAY400065,C103384,CARD205793,2026-02-20,5050.86,5050.86,On Time,0
PAY400066,C103385,CARD204504,2026-07-13,9219.18,9219.18,On Time,0
PAY400067,C104502,CARD210252,2025-03-22,19965.31,19965.31,On Time,0
PAY400068,C109228,CARD201613,2025-01-12,12374.12,12374.12,On Time,0
PAY400069,C107883,CARD200273,2025-08-24,8837.13,8837.13,On Time,0
PAY400070,C103358,CARD203933,2025-10-04,9779.18,9779.18,On Time,0
PAY400071,C104441,CARD210521,2026-01-16,2652.53,2652.53,On Time,0
PAY400072,C103570,CARD208305,2025-03-15,21349.6,21349.6,On Time,0
PAY400073,C101369,CARD206427,2025-06-12,7449.73,7449.73,Late,19
PAY400074,C104706,CARD209039,2026-05-10,11397.32,11397.32,On Time,0
PAY400075,C100988,CARD201924,2025-12-17,6733.41,6733.41,On Time,0
PAY400076,C108070,CARD208445,2025-11-28,1824.57,1824.57,On Time,0
PAY400077,C109947,CARD210098,2025-03-15,4211.23,4211.23,Late,19
PAY400078,C104769,CARD205331,2025-04-24,7249.08,7249.08,On Time,0
PAY400079,C105164,CARD206971,2025-02-28,8550.18,8550.18,On Time,0
PAY400080,C103778,CARD211062,2025-08-25,9147.07,9147.07,On Time,0
PAY400081,C104958,CARD209649,2025-10-30,10917.23,10917.23,On Time,0
PAY400082,C106877,CARD201523,2026-05-06,7373.94,7373.94,On Time,0
PAY400083,C102527,CARD204535,2026-02-16,6195.08,6195.08,Late,21
PAY400084,C107231,CARD209369,2025-11-05,4021.74,4021.74,On Time,0
PAY400085,C106655,CARD205644,2025-08-31,5621.41,5621.41,On Time,0
PAY400086,C107779,CARD205557,2026-08-02,1518.94,1518.94,Late,20
PAY400087,C102504,CARD201549,2026-03-05,6232.29,6232.29,Late,11
PAY400088,C104333,CARD206359,2025-05-14,15334.44,15334.44,On Time,0
PAY400089,C107496,CARD201026,2026-07-20,4668.07,4668.07,On Time,0
PAY400090,C107647,CARD204792,2025-01-03,10815.4,10815.4,On Time,0
PAY400091,C101296,CARD203144,2025-11-04,5067.27,5067.27,On Time,0
PAY400092,C107947,CARD206741,2026-04-28,1243.46,1243.46,On Time,0
PAY400093,C100505,CARD210157,2025-10-07,12480.4,12480.4,On Time,0
PAY400094,C105346,CARD207634,2026-04-09,5262.18,2980.39,Partial,14
PAY400095,C102888,CARD205024,2025-04-14,5234.75,5234.75,On Time,0
PAY400096,C102328,CARD202055,2025-12-25,5487.33,5487.33,On Time,0
PAY400097,C100532,CARD203478,2025-04-15,6162.0,6162.0,On Time,0
PAY400098,C109331,CARD201912,2026-03-08,4555.99,4555.99,On Time,0
PAY400099,C109824,CARD202449,2025-11-13,4814.87,4814.87,On Time,0
PAY400100,C106740,CARD206834,2026-07-17,9124.69,9124.69,On Time,0
PAY400101,C101292,CARD200617,2026-08-28,2953.33,2953.33,On Time,0
PAY400102,C106044,CARD205832,2026-04-26,2266.56,1462.43,Partial,36
PAY400103,C102967,CARD201157,2026-05-28,11666.02,11666.02,On Time,0
PAY400104,C103866,CARD206738,2025-10-26,2998.79,2998.79,On Time,0
PAY400105,C104898,CARD201554,2025-02-15,16487.2,16487.2,On Time,0
PAY400106,C103267,CARD207865,2026-06-12,2727.04,376.62,Missed,74
PAY400107,C102802,CARD200918,2025-09-15,4533.45,4533.45,On Time,0
PAY400108,C102355,CARD207915,2026-04-16,11502.82,11502.82,On Time,0
PAY400109,C107559,CARD204658,2026-07-03,4937.45,4937.45,Late,3
PAY400110,C102451,CARD201352,2025-06-10,24625.08,24625.08,On Time,0
PAY400111,C100825,CARD203597,2026-04-30,2193.79,2193.79,Late,24
PAY400112,C109223,CARD204480,2025-01-07,14070.97,14070.97,On Time,0
PAY400113,C107411,CARD210629,2026-04-11,7538.22,7538.22,On Time,0
PAY400114,C102456,CARD205105,2025-04-26,6456.71,6456.71,On Time,0
PAY400115,C104040,CARD203796,2025-08-11,2160.67,2160.67,On Time,0
PAY400116,C100260,CARD205174,2025-02-10,9240.66,9240.66,On Time,0
PAY400117,C102558,CARD210510,2026-08-29,20127.83,20127.83,On Time,0
PAY400118,C102408,CARD203130,2025-05-21,9440.19,9440.19,On Time,0
PAY400119,C100055,CARD211607,2025-12-24,31488.44,4206.18,Missed,65
PAY400120,C101616,CARD203771,2025-07-13,8837.6,816.45,Missed,53
PAY400121,C106175,CARD201791,2025-12-09,2880.92,2880.92,Late,25
PAY400122,C102880,CARD207352,2025-01-01,4653.27,627.48,Missed,86
PAY400123,C108797,CARD201106,2026-05-15,20489.27,20489.27,Late,16
PAY400124,C106961,CARD204773,2026-05-19,7493.93,7493.93,On Time,0
PAY400125,C107651,CARD210464,2025-07-06,7750.3,7750.3,On Time,0
PAY400126,C108967,CARD202643,2025-03-04,3473.61,3473.61,On Time,0
PAY400127,C102528,CARD210366,2025-09-13,2938.89,2938.89,Late,26
PAY400128,C102068,CARD202779,2026-03-31,8113.92,8113.92,On Time,0
PAY400129,C101677,CARD202888,2026-05-01,9332.75,9332.75,On Time,0
PAY400130,C109107,CARD202778,2025-11-19,10538.19,10538.19,On Time,0
PAY400131,C106854,CARD204830,2025-05-02,16011.28,16011.28,On Time,0
PAY400132,C104242,CARD204393,2026-02-04,8232.56,986.32,Missed,58
PAY400133,C103786,CARD207998,2025-08-17,2269.57,186.96,Missed,85
PAY400134,C101964,CARD204855,2026-07-12,3687.94,3687.94,On Time,0
PAY400135,C103341,CARD211983,2026-05-17,8227.76,8227.76,Late,7
PAY400136,C104963,CARD204665,2026-07-08,3431.24,3431.24,Late,10
PAY400137,C105764,CARD202701,2026-06-21,1304.61,1046.04,Partial,17
PAY400138,C107951,CARD204337,2026-02-08,16813.91,16813.91,Late,25
PAY400139,C100224,CARD204766,2025-12-17,1871.56,1871.56,On Time,0
PAY400140,C109994,CARD204193,2025-07-21,23542.66,23542.66,On Time,0
PAY400141,C108515,CARD207232,2026-01-07,1966.39,828.23,Partial,48
PAY400142,C107041,CARD203620,2026-02-10,4521.23,4521.23,On Time,0
PAY400143,C104556,CARD204587,2026-01-21,3696.49,3696.49,On Time,0
PAY400144,C107120,CARD207833,2025-05-10,3891.97,3891.97,On Time,0
PAY400145,C109281,CARD210415,2025-06-17,5156.24,5156.24,Late,23
PAY400146,C100193,CARD208981,2026-05-30,6669.74,6669.74,On Time,0
PAY400147,C100804,CARD211369,2025-02-07,16910.37,16910.37,Late,22
PAY400148,C108757,CARD203703,2025-03-16,31128.06,31128.06,On Time,0
PAY400149,C108690,CARD210944,2025-09-03,8242.26,8242.26,On Time,0
PAY400150,C106142,CARD200831,2026-06-14,3173.47,3173.47,Late,5
PAY400151,C105612,CARD208183,2026-02-23,5178.53,5178.53,On Time,0
PAY400152,C107991,CARD201377,2026-07-08,5975.7,5975.7,On Time,0
PAY400153,C105909,CARD208379,2025-12-20,4813.1,4813.1,On Time,0
PAY400154,C101673,CARD200251,2025-05-24,9787.38,9787.38,On Time,0
PAY400155,C105107,CARD204086,2025-10-13,7764.78,7764.78,On Time,0
PAY400156,C101523,CARD201416,2025-02-18,6586.82,6586.82,On Time,0
PAY400157,C101111,CARD206120,2026-03-19,5068.51,1628.69,Partial,39
PAY400158,C108363,CARD204588,2026-02-01,6606.74,1385.98,Partial,29
PAY400159,C102558,CARD210510,2025-08-03,2795.0,2795.0,On Time,0
PAY400160,C105955,CARD203824,2025-10-08,7338.16,7338.16,On Time,0
PAY400161,C108741,CARD209006,2026-01-19,5152.02,5152.02,Late,2
PAY400162,C100187,CARD210772,2025-06-10,8027.85,8027.85,On Time,0
PAY400163,C104835,CARD200915,2025-05-15,4313.08,4313.08,On Time,0
PAY400164,C101218,CARD204096,2026-08-31,16612.42,13889.64,Partial,31
PAY400165,C102681,CARD211099,2025-12-12,4941.08,4941.08,Late,3
PAY400166,C109686,CARD208526,2025-03-03,7640.13,7640.13,On Time,0
PAY400167,C109167,CARD207797,2026-01-15,22084.36,22084.36,On Time,0
PAY400168,C105395,CARD211446,2025-11-29,16220.78,16220.78,On Time,0
PAY400169,C107750,CARD202133,2025-07-07,11347.46,11347.46,On Time,0
PAY400170,C105608,CARD207667,2025-08-19,3890.75,3890.75,On Time,0
PAY400171,C107891,CARD202555,2026-02-16,5354.57,5354.57,On Time,0
PAY400172,C104048,CARD210117,2026-04-16,10248.4,10248.4,On Time,0
PAY400173,C100918,CARD211546,2025-07-03,34794.3,34794.3,Late,28
PAY400174,C100599,CARD210822,2025-11-26,7870.89,7870.89,On Time,0
PAY400175,C100593,CARD208046,2025-07-14,4250.67,4250.67,On Time,0
PAY400176,C104723,CARD202689,2025-10-18,2818.71,2818.71,On Time,0
PAY400177,C101496,CARD210398,2025-06-17,4474.24,4474.24,On Time,0
PAY400178,C104638,CARD206147,2025-06-13,3150.72,3150.72,On Time,0
PAY400179,C103388,CARD200598,2026-05-03,5134.56,5134.56,On Time,0
PAY400180,C101198,CARD206527,2025-03-05,16984.28,16984.28,Late,21
PAY400181,C101966,CARD211019,2025-08-05,10965.65,10965.65,On Time,0
PAY400182,C103717,CARD211156,2026-02-07,1504.84,1504.84,On Time,0
PAY400183,C106640,CARD205445,2026-01-20,1562.98,1562.98,On Time,0
PAY400184,C109716,CARD210548,2026-03-29,2989.72,2989.72,On Time,0
PAY400185,C105421,CARD202984,2026-08-20,2616.45,1744.9,Partial,35
PAY400186,C108287,CARD204014,2025-10-22,3438.24,1425.25,Partial,15
PAY400187,C108432,CARD208518,2026-07-12,2445.28,2445.28,On Time,0
PAY400188,C108500,CARD202595,2026-03-15,2812.41,2812.41,Late,9
PAY400189,C105050,CARD204879,2026-03-03,7794.11,7794.11,On Time,0
PAY400190,C103750,CARD208239,2025-09-08,1708.08,1708.08,On Time,0
PAY400191,C100394,CARD205779,2025-06-27,32741.03,2405.89,Missed,37
PAY400192,C102391,CARD202319,2025-11-29,14087.37,11102.77,Partial,49
PAY400193,C109218,CARD211351,2025-07-26,3827.33,3827.33,On Time,0
PAY400194,C108061,CARD205972,2025-12-10,5483.78,5483.78,On Time,0
PAY400195,C102442,CARD209852,2026-07-09,2249.6,52.14,Missed,58
PAY400196,C100259,CARD209729,2025-10-27,14752.19,14752.19,On Time,0
PAY400197,C105655,CARD200350,2026-08-12,13181.24,13181.24,Late,8
PAY400198,C107033,CARD211906,2026-08-30,8527.45,8527.45,Late,10
PAY400199,C101179,CARD211653,2025-03-23,9379.35,9379.35,On Time,0
PAY400200,C103829,CARD203740,2025-02-01,7604.16,4419.74,Partial,31
PAY400201,C108312,CARD201312,2025-03-26,10650.07,4602.95,Partial,30
PAY400202,C105689,CARD203371,2026-08-03,10445.76,10445.76,On Time,0
PAY400203,C101693,CARD207962,2026-01-31,3363.95,3363.95,On Time,0
PAY400204,C105780,CARD208366,2025-02-06,7173.62,7173.62,On Time,0
PAY400205,C100349,CARD210256,2026-03-15,2454.16,2454.16,On Time,0
PAY400206,C104694,CARD202507,2026-02-13,10400.56,10400.56,On Time,0
PAY400207,C102269,CARD211091,2025-07-24,8142.45,8142.45,On Time,0
PAY400208,C109751,CARD211860,2026-01-09,13777.26,13777.26,Late,7
PAY400209,C104890,CARD204144,2025-03-29,1855.87,1855.87,On Time,0
PAY400210,C100465,CARD205253,2025-04-24,6653.44,6653.44,On Time,0
PAY400211,C101988,CARD207246,2025-11-19,4972.4,4972.4,On Time,0
PAY400212,C103761,CARD207309,2025-02-25,11342.63,11342.63,On Time,0
PAY400213,C100840,CARD208571,2026-02-04,18248.7,18248.7,Late,10
PAY400214,C106970,CARD203900,2026-04-30,2454.32,2454.32,On Time,0
PAY400215,C102625,CARD200384,2026-04-12,17871.95,13788.85,Partial,12
PAY400216,C107195,CARD211756,2025-04-02,4149.04,4149.04,On Time,0
PAY400217,C104618,CARD208463,2026-07-05,12099.49,12099.49,On Time,0
PAY400218,C105217,CARD211235,2026-05-28,4843.47,4843.47,On Time,0
PAY400219,C108418,CARD211272,2025-07-29,13207.95,13207.95,On Time,0
PAY400220,C105438,CARD200817,2025-09-11,9071.33,5044.9,Partial,14
PAY400221,C107823,CARD206653,2025-12-31,16238.94,16238.94,Late,2
PAY400222,C103426,CARD205723,2025-03-22,5493.57,5493.57,On Time,0
PAY400223,C100848,CARD211084,2026-07-29,14455.57,3710.71,Partial,19
PAY400224,C107460,CARD208160,2026-03-23,1000.0,1000.0,On Time,0
PAY400225,C106948,CARD202024,2025-04-18,9122.35,9122.35,On Time,0
PAY400226,C107307,CARD203413,2026-05-22,4786.83,4786.83,On Time,0
PAY400227,C102830,CARD209009,2025-11-23,5197.65,5197.65,On Time,0
PAY400228,C106398,CARD207051,2025-03-26,4931.64,4931.64,On Time,0
PAY400229,C100014,CARD203918,2025-05-11,6581.17,943.44,Missed,59
PAY400230,C100698,CARD205265,2025-03-28,1382.32,1382.32,On Time,0
PAY400231,C104779,CARD202084,2025-08-17,1839.5,1839.5,On Time,0
PAY400232,C109204,CARD208586,2025-06-30,15629.93,15629.93,On Time,0
PAY400233,C106206,CARD203297,2025-09-15,7180.29,7180.29,On Time,0
PAY400234,C101033,CARD209716,2026-03-22,4023.65,4023.65,On Time,0
PAY400235,C103227,CARD209419,2025-10-24,4625.03,2916.32,Partial,44
PAY400236,C100017,CARD211549,2025-10-19,7260.25,7260.25,On Time,0
PAY400237,C109151,CARD208341,2026-01-26,2164.45,2164.45,On Time,0
PAY400238,C100975,CARD201591,2026-07-30,8256.79,4375.61,Partial,58
PAY400239,C109065,CARD208126,2026-04-30,9112.36,9112.36,Late,8
PAY400240,C101794,CARD211065,2025-07-22,2505.43,2505.43,On Time,0
PAY400241,C106639,CARD201513,2025-05-21,11106.16,11106.16,On Time,0
PAY400242,C108847,CARD207581,2026-08-23,8053.95,8053.95,On Time,0
PAY400243,C103926,CARD207658,2026-06-15,9907.68,9907.68,Late,11
PAY400244,C106130,CARD207032,2026-06-25,1360.43,1360.43,On Time,0
PAY400245,C108959,CARD210145,2025-01-08,5363.68,5363.68,On Time,0
PAY400246,C106588,CARD210055,2025-11-15,9416.7,9416.7,On Time,0
PAY400247,C107159,CARD211890,2025-10-10,14088.45,14088.45,On Time,0
PAY400248,C100589,CARD203621,2025-05-09,4842.47,4842.47,On Time,0
PAY400249,C106180,CARD203619,2025-02-08,25562.86,25562.86,On Time,0
PAY400250,C106817,CARD209439,2026-01-19,11732.48,11732.48,On Time,0
PAY400251,C101408,CARD203380,2026-07-19,25823.91,25823.91,On Time,0
PAY400252,C109682,CARD209249,2026-04-18,11882.72,11882.72,On Time,0
PAY400253,C103326,CARD203709,2025-09-26,15856.73,15856.73,On Time,0
PAY400254,C109727,CARD205390,2025-08-26,19596.81,19596.81,On Time,0
PAY400255,C109095,CARD200019,2025-07-17,2393.51,211.98,Missed,38
PAY400256,C102013,CARD211783,2026-07-24,2283.35,2283.35,On Time,0
PAY400257,C105110,CARD209950,2026-07-25,4105.52,831.24,Partial,11
PAY400258,C109068,CARD207588,2026-05-19,5695.06,5695.06,Late,10
PAY400259,C103117,CARD209156,2026-06-23,4961.29,4961.29,On Time,0
PAY400260,C108734,CARD210492,2025-12-01,11481.71,156.83,Missed,72
PAY400261,C103357,CARD202673,2025-03-29,12829.73,12829.73,On Time,0
PAY400262,C101020,CARD206976,2025-11-23,5484.01,5484.01,On Time,0
PAY400263,C103093,CARD207034,2026-08-25,5925.14,5925.14,On Time,0
PAY400264,C104872,CARD207693,2025-12-19,16611.65,16611.65,Late,26
PAY400265,C106688,CARD210049,2025-09-28,12777.8,12777.8,On Time,0
PAY400266,C105541,CARD209757,2025-06-13,8145.44,8145.44,On Time,0
PAY400267,C109217,CARD206373,2025-08-22,12513.48,1316.37,Missed,98
PAY400268,C103918,CARD200540,2026-04-09,1216.24,1216.24,On Time,0
PAY400269,C107586,CARD210946,2025-10-26,13867.89,13867.89,On Time,0
PAY400270,C102376,CARD211554,2026-03-24,2150.54,2150.54,On Time,0
PAY400271,C109125,CARD206502,2025-09-27,3835.57,3835.57,On Time,0
PAY400272,C100267,CARD206880,2025-01-30,6537.41,6537.41,On Time,0
PAY400273,C105203,CARD204872,2026-02-19,1885.56,1885.56,On Time,0
PAY400274,C102598,CARD211450,2025-01-18,7235.24,7235.24,On Time,0
PAY400275,C104091,CARD201005,2026-01-30,3083.29,3083.29,On Time,0
PAY400276,C102803,CARD211886,2025-11-14,8568.77,8568.77,On Time,0
PAY400277,C104791,CARD207534,2025-11-24,6041.93,6041.93,On Time,0
PAY400278,C109062,CARD204865,2025-12-24,2963.77,2963.77,On Time,0
PAY400279,C107155,CARD203744,2025-06-16,5605.76,5605.76,On Time,0
PAY400280,C106086,CARD206799,2026-08-04,14579.15,14579.15,On Time,0
PAY400281,C102848,CARD202128,2025-10-26,7163.81,7163.81,On Time,0
PAY400282,C105670,CARD206409,2025-07-04,7951.51,7951.51,Late,22
PAY400283,C100331,CARD201686,2026-05-28,5038.18,497.68,Missed,94
PAY400284,C105080,CARD210174,2026-02-05,8853.67,8853.67,On Time,0
PAY400285,C100202,CARD207551,2025-09-26,11439.73,11439.73,Late,25
PAY400286,C101102,CARD203026,2026-05-17,5743.43,5743.43,On Time,0
PAY400287,C104677,CARD206158,2025-12-21,3505.67,3505.67,Late,8
PAY400288,C102055,CARD202181,2025-07-06,4269.54,86.17,Missed,88
PAY400289,C100243,CARD208881,2026-03-25,6803.42,4230.55,Partial,4
PAY400290,C106812,CARD207909,2025-10-05,17337.39,17337.39,On Time,0
PAY400291,C102299,CARD210928,2025-12-09,2946.35,2946.35,On Time,0
PAY400292,C105316,CARD201825,2026-03-10,4160.29,4160.29,On Time,0
PAY400293,C105804,CARD211000,2026-02-25,2870.07,2870.07,On Time,0
PAY400294,C103813,CARD203569,2025-09-21,4075.32,4075.32,On Time,0
PAY400295,C105872,CARD207480,2026-08-18,17465.63,17465.63,On Time,0
PAY400296,C100560,CARD209442,2026-02-06,10309.39,10309.39,On Time,0
PAY400297,C104596,CARD203186,2026-04-26,6122.32,6122.32,On Time,0
PAY400298,C107061,CARD207724,2025-09-07,3336.51,3336.51,On Time,0
PAY400299,C108162,CARD200509,2025-11-13,2321.77,2321.77,On Time,0
PAY400300,C102168,CARD200534,2025-06-17,3624.47,276.46,Missed,32
PAY400301,C101763,CARD201664,2026-03-13,5491.88,5491.88,Late,8
PAY400302,C104979,CARD200351,2026-08-20,26590.11,26590.11,Late,1
PAY400303,C104755,CARD205647,2025-09-27,2579.85,2579.85,On Time,0
PAY400304,C105409,CARD205902,2025-09-21,6157.96,6157.96,On Time,0
PAY400305,C102485,CARD209339,2026-04-11,17698.21,12548.66,Partial,29
PAY400306,C109147,CARD204290,2025-11-17,4180.8,4180.8,On Time,0
PAY400307,C100038,CARD205755,2025-03-04,20844.62,20844.62,Late,11
PAY400308,C106013,CARD207614,2025-11-10,10643.58,10643.58,On Time,0
PAY400309,C104399,CARD204250,2025-01-12,8308.72,8308.72,On Time,0
PAY400310,C106218,CARD207259,2026-05-06,13499.83,13499.83,On Time,0
PAY400311,C100358,CARD209967,2026-04-22,7879.38,7879.38,On Time,0
PAY400312,C102355,CARD207915,2025-05-22,9716.43,883.31,Missed,57
PAY400313,C105978,CARD209613,2025-07-19,1384.75,890.17,Partial,53
PAY400314,C109574,CARD206189,2026-04-17,3724.03,3724.03,On Time,0
PAY400315,C108781,CARD200112,2025-02-18,11807.69,11807.69,On Time,0
PAY400316,C105289,CARD208168,2025-10-31,4932.32,3398.58,Partial,51
PAY400317,C104377,CARD208588,2026-01-29,8079.75,8079.75,On Time,0
PAY400318,C103006,CARD207901,2026-08-21,1470.75,1470.75,On Time,0
PAY400319,C101989,CARD211325,2025-04-25,10037.2,10037.2,On Time,0
PAY400320,C109861,CARD207989,2025-09-16,9547.06,9547.06,On Time,0
PAY400321,C106025,CARD200628,2026-01-26,3311.91,3311.91,On Time,0
PAY400322,C102950,CARD200088,2026-07-26,3322.59,3322.59,On Time,0
PAY400323,C106808,CARD208877,2026-07-07,2880.32,2880.32,Late,5
PAY400324,C100490,CARD209587,2026-01-03,3396.69,3396.69,On Time,0
PAY400325,C106079,CARD202475,2026-03-15,4736.07,4736.07,On Time,0
PAY400326,C105493,CARD206476,2026-04-16,4248.56,4248.56,On Time,0
PAY400327,C104049,CARD208528,2025-09-23,13228.54,13228.54,Late,13
PAY400328,C106996,CARD202240,2026-02-20,1380.72,1380.72,On Time,0
PAY400329,C103771,CARD201753,2025-09-12,3708.74,3708.74,On Time,0
PAY400330,C109003,CARD201339,2025-10-31,5747.59,5747.59,On Time,0
PAY400331,C105776,CARD205323,2025-07-13,3191.69,3191.69,On Time,0
PAY400332,C109760,CARD201923,2025-09-09,11403.64,11403.64,On Time,0
PAY400333,C102402,CARD201282,2025-08-30,8340.72,565.97,Missed,61
PAY400334,C108309,CARD210476,2025-06-03,2938.34,2938.34,On Time,0
PAY400335,C100383,CARD211577,2025-07-09,11508.61,11508.61,On Time,0
PAY400336,C102365,CARD200340,2025-12-12,2414.42,2414.42,On Time,0
PAY400337,C100880,CARD205318,2026-05-21,3278.42,3278.42,On Time,0
PAY400338,C103482,CARD205444,2026-02-25,21819.9,21819.9,On Time,0
PAY400339,C104461,CARD203541,2025-10-25,8421.08,8421.08,Late,29
PAY400340,C109466,CARD200115,2025-05-10,2975.46,2148.14,Partial,18
PAY400341,C104472,CARD207661,2026-03-18,1761.2,1761.2,On Time,0
PAY400342,C103349,CARD201739,2025-04-21,12231.67,12231.67,On Time,0
PAY400343,C107132,CARD202849,2025-12-16,31160.62,14738.68,Partial,43
PAY400344,C107032,CARD210309,2025-08-04,17069.78,17069.78,Late,28
PAY400345,C103472,CARD207428,2025-08-19,10271.77,10271.77,On Time,0
PAY400346,C104327,CARD208622,2026-03-08,2160.19,278.71,Missed,78
PAY400347,C109530,CARD206199,2025-02-20,7149.89,1013.9,Missed,103
PAY400348,C101883,CARD200431,2025-01-25,1088.17,1088.17,On Time,0
PAY400349,C104608,CARD201636,2025-07-22,3241.98,3241.98,On Time,0
PAY400350,C102834,CARD201230,2026-08-22,6153.17,6153.17,On Time,0
PAY400351,C101265,CARD202081,2025-07-26,11695.18,11695.18,On Time,0
PAY400352,C108274,CARD202058,2026-05-24,6542.48,6542.48,On Time,0
PAY400353,C102644,CARD209144,2026-05-31,17632.83,17632.83,On Time,0
PAY400354,C107980,CARD204711,2025-08-13,10328.42,10328.42,On Time,0
PAY400355,C107728,CARD200926,2026-04-09,10184.41,10184.41,On Time,0
PAY400356,C109551,CARD201172,2026-07-19,26514.77,26514.77,Late,30
PAY400357,C108499,CARD208461,2025-10-05,9722.48,9722.48,On Time,0
